,건물면적,경도,도서관명,도서관유형,시군구명,시도명,열람좌석수,위도,자료수,좌표
201,340.0,127.04136740000001,월곡꿈그림도서관,공공도서관,성북구,서울특별시,82,37.60507324,13586,"37.60507324, 127.04136740000001"
202,398.0,127.04583600000001,장위행복누림도서관,공공도서관,성북구,서울특별시,60,37.61589067,6391,"37.61589067, 127.04583600000001"
203,1396.94,127.026443,성북길빛도서관,공공도서관,성북구,서울특별시,250,37.60996089,153351,"37.60996089, 127.026443"
204,5574.0,127.0360815951,강북문화정보도서관,공공도서관,강북구,서울특별시,282,37.625174,239591,"37.625174, 127.0360815951"
205,1777.0,127.02155412129999,강북청소년문화정보도서관,공공도서관,강북구,서울특별시,154,37.6230802776,45693,"37.6230802776, 127.02155412129999"
206,944.0,127.012452,솔샘문화정보도서관,공공도서관,강북구,서울특별시,132,37.6204759388,55817,"37.6204759388, 127.012452"
207,511.0,127.0299391507,송중문화정보도서관,공공도서관,강북구,서울특별시,67,37.618342,31122,"37.618342, 127.0299391507"
208,951.0,127.01754299999999,수유문화정보도서관,공공도서관,강북구,서울특별시,152,37.6300509732,40459,"37.6300509732, 127.01754299999999"
209,2032.0,127.08480344719999,중곡문화체육센터도서관,공공도서관,광진구,서울특별시,259,37.5677777604,75764,"37.5677777604, 127.08480344719999"
210,103.0,127.055517,용답동어린이작은도서관,공공도서관,성동구,서울특별시,20,37.564066,6153,"37.564066, 127.055517"
211,29.0,127.068522,송정동늘푸른작은도서관,공공도서관,성동구,서울특별시,6,37.5510117564,5714,"37.5510117564, 127.068522"
212,99.0,127.055245898,성수2가제3동작은도서관,공공도서관,성동구,서울특별시,14,37.54822203,10969,"37.54822203, 127.055245898"
213,59.0,127.05405,성수2가제1동어린이작은도서관,공공도서관,성동구,서울특별시,30,37.539501,7657,"37.539501, 127.05405"
214,35.0,127.0443495423,성수1가제2동어린이작은도서관,공공도서관,성동구,서울특별시,16,37.5464030037,3603,"37.5464030037, 127.0443495423"
